donor_id	cell_type	n_cells	AGTR1_mean	frac_AGTR1_pos	age	sex	disease	ethnicity
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC002	B cell	46	0	0	57	male	normal	Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC002	Basal	69	0	0	57	male	normal	Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC002	DC2	79	0	0	57	male	normal	Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC002	Mast cells	31	0	0	57	male	normal	Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC002	Multiciliated	145	0	0	57	male	normal	Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC002	Secretory	4334	0	0	57	male	normal	Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC002	T cell lineage	138	0	0	57	male	normal	Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	B cell	61	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	Basal	357	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	DC2	655	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	Innate lymphoid cell NK	26	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	Mast cells	85	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	Monocytes	107	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	Multiciliated	94	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	Plasmacytoid DCs	187	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	Secretory	1280	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC003	T cell lineage	234	0	0	30	male	normal	European
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC004	Basal	205	0	0	27	female	normal	European,Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC004	DC2	53	0	0	27	female	normal	European,Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC004	Mast cells	42	0.0788456315086002	0.0476190476190476	27	female	normal	European,Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC004	Multiciliated	1188	0	0	27	female	normal	European,Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC004	Secretory	9997	0	0	27	female	normal	European,Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC004	T cell lineage	162	0	0	27	female	normal	European,Asian
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC005	Basal	1661	0	0	37	female	normal	African
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC005	DC2	60	0	0	37	female	normal	African
homosapiens_None_2023_None_sikkemalisa_001_d10_1101_2022_03_10_4837472020-3173-NC005	Multiciliated	168	0	0	37	female	normal	African
