cluster_0	cluster_1	cluster_2
TSPAN6	0.48345566043012	0.497721800281349	0.519254542273985
TNMD	0	0	0
DPM1	0.517657985070928	0.458854067521285	0.525272638793079
SCYL3	0.479136818091776	0.546995901433527	0.475980130284891
C1orf112	0.539027151402706	0.505190954114889	0.45799937272222
FGR	0.577221270107329	0.278179803666133	0.713470072844269
CFH	0.499243593760342	0.515927395246672	0.485145316061043
FUCA2	0.526854695275876	0.460533220208073	0.514285659343874
GCLC	0.449111119348183	0.570570254444898	0.485419745371131
NFYA	0.527218505063405	0.502615753996114	0.471218445569082
STPG1	0.523375111662447	0.486818231092416	0.49034474980764
NIPAL3	0.442822158071519	0.555900669365434	0.505572114002093
LAS1L	0.524037330280089	0.568623823672558	0.415735522322176
ENPP4	0.639136893345893	0.699728693799165	0.247514885299533
SEMA3F	0.800255205057237	1.24960136829155	0
CFTR	0	0	0
ANKIB1	0.467520206803977	0.546004591013925	0.488649564599954
CYP51A1	0.470118025519905	0.506434052152201	0.524475753513502
KRIT1	0.462781831957737	0.533287886893037	0.505620907361528
RAD52	0.427000972442058	0.624542440544161	0.462690377189287
BAD	0.511870057124546	0.474585904881682	0.514208563674867
LAP3	0.535650691398618	0.469191361234363	0.496639188794183
CD99	0.520061498761293	0.461671397208785	0.519794761221815
HS3ST1	0.511273218150849	0.481364730141513	0.507720100968385
AOC1	0	0	0
WNT16	0.310397982027146	0	3.22167042275283
HECW1	1094136264.96447	0	0
MAD1L1	0.522268828529027	0.470007419391614	0.508711759509234
LASP1	0.497100577881995	0.50838154562905	0.49458965021449
SNX11	0.602211720423394	0.415352177562188	0.494042886855675
TMEM176A	0.496994949336409	0.617604920693322	0.400958236103157
M6PR	0.516481284215834	0.497580678803423	0.486248304913324
KLHL13	0.785171597676672	0	1.27360694315412
CYP26B1	0	0	0
ICA1	1.40455810654296	0.711967695819902	0
DBNDD1	0	0.992742740717499	1.00731031114499
ALS2	0.465643327893438	0.587834262863064	0.453663512303038
CASP10	0.49570036990962	0.385581284299935	0.640155902730295
CFLAR	0.483221697118773	0.539347963720329	0.478926215703421
TFPI	0.489290380867794	0.516282244937494	0.494698038061795
NDUFAF7	0.486362964456837	0.485396139734743	0.529061955007382
RBM5	0.451800045499005	0.569723839418842	0.483360010108937
MTMR7	0	1381237217.31602	0
SLC7A2	0.450064844219401	0.530006661882887	0.522571183643222
ARF5	0.532989882348623	0.439354148725566	0.531571995079475
SARM1	0.507985615751223	0.531057364313938	0.462586362144972
POLDIP2	0.536026155816262	0.489009648756956	0.476271666027327
PLXND1	0.453895142021739	0.565289852478039	0.485148863755934
AK2	0.511368216518488	0.46999960267132	0.519582301444828
CD38	1.87328726661657	0	0.53382095566445
FKBP4	0.526481344339707	0.440967931900158	0.536285512295148
KDM1A	0.47815232651866	0.518082597709275	0.504315764800842
RBM6	0.465482132170096	0.54366232444601	0.492936973931961
CAMKK1	1.54860936938228	0.645740635811465	0
RECQL	0.518289610829973	0.497029740022687	0.485057218169156
VPS50	0.502667288631739	0.57179225461224	0.432048653431789
HSPB6	0.640359468423927	0.461369037236545	0.416254718538537
ARHGAP33	0.496725029579779	0.471776150897481	0.532746856931203
NDUFAB1	0.518842350829184	0.475687705958363	0.506129189625658
PDK4	0.500028121988228	0.492304553035815	0.507746812122076
SLC22A16	0	0	0
ZMYND10	0.410590727530109	0.546002539351898	0.55219805829529
ABCB5	0.465301532679744	0	2.14914400126938
ARX	0	0	0
SLC25A13	0.467492487041472	0.538787670489552	0.495431603292625
ST7	0.583112894420852	0.412357427806233	0.514469909573738
CDC27	0.455377995410343	0.528838776752545	0.517906575132449
SLC4A1	0.61597205566829	0.445178421815798	0.450912716950136
CALCR	0	0	0
HCCS	0.543388891166412	0.459285514692359	0.499681388153439
DVL2	0.477668993954859	0.508568026083506	0.514283851810066
PRSS22	0	1381237217.31602	0
UPF1	0.483301922975819	0.487276271238503	0.530319333709218
SKAP2	0.497341138960043	0.507785018093625	0.494935914528316
SLC25A5	0.537097899287251	0.445104150506736	0.521070541780375
MCUB	0.535555019118111	0.481244430390585	0.484424716158436
HOXA11	0	0	0
POLR2J	0.50665660747591	0.459629032383485	0.53568980493683
DHX33	0.460645679741837	0.550118533640394	0.491959877456572
MEOX1	0	0	0
THSD7A	1434176347.03379	0	0
LIG3	0.461860169292521	0.503930312216235	0.536061454462065
RPAP3	0.465511638485661	0.546991053872944	0.489806074498268
ACSM3	0	0	1393499545.08907
REXO5	0.469432379887859	2.13023225618274	0
CIAPIN1	0.529873209078276	0.460389976665467	0.511481693689457
SPPL2B	0.464316179889056	0.548952438605301	0.489225976398967
FAM214B	0.444782942388183	0.619530511913707	0.448453286495487
COPZ2	0.45210843467114	0.617840349966659	0.442505551602084
PRKAR2B	0.484374919411722	0.501889773491613	0.514032212271606
MSL3	0.488514173863499	0.516273575437061	0.495489142797957
CREBBP	0.455971459013789	0.564980325487778	0.48326649713184
TSPOAP1	0.540000063105719	0.779903985584459	0.26771421568491
MPO	0	0	1393499545.08907
PON1	0.699175488511513	0.414347032198253	0.419568893780663
GCFC2	0.476982387964563	0.51693486678277	0.50665995454217
WDR54	0.504131978450712	0.464935677690316	0.532471002136577
CROT	0.476457816284777	0.598240994607546	0.434688454665018
ABCB4	0	0	0
KMT2E	0.482424926312663	0.507315530133509	0.510577478188122
RHBDD2	0.497728742534364	0.488668279097509	0.513818823924385
SOX8	0.465301532679744	0	2.14914400126938
IBTK	0.470901914182075	0.544404662187578	0.486665381515706
ZNF195	0.485999298753302	0.522484874648013	0.492022460441456
MYCBP2	0.473607384990888	0.563233490083505	0.466934939162524
FBXL3	0.498001939349388	0.510325995719147	0.491790505798138
ITGAL	0.309848315306265	0.720875834854889	0.525661536774829
PDK2	0.490405613797407	0.470804949424339	0.54049521665978
ITGA3	0.444335306478708	0.601935544971466	0.463282252481527
ZFX	0.433321480774231	0.569090346291708	0.503741579226859
LAMP2	0.493549773594918	0.523417019506075	0.483602254059896
ITGA2B	0.309761572548618	0.51969460351301	0.728682237790619
ASB4	0.378710865690791	0.671752891226246	0.478174243179467
GDE1	0.489998478443436	0.488482263149005	0.521993327190634
REX1BD	0.482445680343401	0.473800314112216	0.545783664553045
CRLF1	0.16419291433167	6.09039678889253	0
OSBPL7	0.422607128016059	0.551770475394249	0.532238200995005
TMEM98	0.527093780481003	0.435611549278823	0.541796297359071
YBX2	1094136264.96447	0	0
KRT33A	0	0	0
MAP3K14	0.448706989760466	0.613235230473666	0.449576016834179
ABCC8	0.524521607379398	0.43510084383409	0.545018639275117
TMEM132A	0.600616547107154	0.604563512676594	0.329754877364782
AP2B1	0.492213242603707	0.502416557950367	0.505434336529948
TAC1	0	0	0
ZNF263	0.53281810862415	0.425238890994454	0.548059241879784
CX3CL1	0.601730854482543	0.45170381185751	0.455965131174855
SPATA20	0.480848915146523	0.500527586402818	0.519111799012939
CACNA1G	0.469432379887859	2.13023225618274	0
TNFRSF12A	0.669115279892223	0.403439684250919	0.452759599609612
DLX6	0	0	0
MAP3K9	0.469432379887859	2.13023225618274	0
RALA	0.53037133792079	0.443131118942698	0.529926685051761
BAIAP2L1	0.461917470051254	0.574436822739454	0.468818931007943
KDM7A	0.537858279114414	0.49588419190934	0.467902674374543
ETV1	0.466576087668884	0.533068672662437	0.501832520723992
AGK	0.508616380695732	0.515722853056316	0.47625500313767
ALDH3B1	0.498157104044568	0.639743708628619	0.383773043825746
TTC22	0	0	0
PHTF2	0.481960355161977	0.571703555706194	0.451450818270404
CCL26	648397474.583773	0	0
FARP2	0.461061191188612	0.583332958110309	0.462016363603273
USH1C	0	0	0
GGCT	0.554470167355074	0.424146304850125	0.527839661722341
DBF4	0.512490116799818	0.540953674264581	0.449506696116267
TBXA2R	0.495337129891545	0.495013653189022	0.509743267015896
IFRD1	0.525447382102162	0.498399135655578	0.476939755367717
LGALS14	0	0	0
COX10	0.48352856389565	0.497233789922768	0.519680507989326
GTF2IRD1	0.474759737209337	0.553867900515661	0.47412592757025
PAF1	0.514892707580721	0.517011901567591	0.469083214143728
VPS41	0.458958914907618	0.569117801370015	0.476496482835561
ARHGAP44	0.401872344686646	0.616142371033905	0.497205646030818
ELAC2	0.485248152405362	0.524521681348985	0.490827546661363
SCIN	648397474.583773	0	0
ARSD	0.509924250361344	0.482831613644953	0.507545912751765
PNPLA4	0.521383219874024	0.372962948949812	0.627732293980424
MYH13	0	0	0
ADIPOR2	0.491006196572671	0.494702831025963	0.514502875687879
CDKL3	0.458781547486844	0.482718789098267	0.562354311495063
UPP2	0	0	0
PRSS21	0.187005582797067	1.01560612198554	0.511909381865161
MARK4	0.4846777064636	0.559170257828964	0.459669968445867
PROM1	1094136264.96447	0	0
CCDC124	0.501062244853137	0.475332988870606	0.52440877332382
CEACAM21	1.02919039411163	0	0.971637516543563
PAFAH1B1	0.483615783333666	0.530510865475656	0.486780072836849
NOS2	648397474.583773	0	0
