cluster	gene_id	pval	logFC	gene_name
4	ENSG00000187498	6.003065489202618e-33	0.8607673	COL4A1
4	ENSG00000116962	7.349658785739937e-30	1.0945013	NID1
4	ENSG00000213949	2.2870562204020237e-29	0.9675815	ITGA1
4	ENSG00000074181	5.879084450542954e-26	0.95716095	NOTCH3
4	ENSG00000110651	1.5053881816965274e-24	1.2715012	CD81
4	ENSG00000196924	7.861479412873501e-24	1.0781292	FLNA
4	ENSG00000134871	8.096888882365093e-24	0.6898242	COL4A2
4	ENSG00000164692	2.0363562936186963e-23	0.9925854	COL1A2
4	ENSG00000076706	2.8606535545267888e-21	1.1171027	MCAM
4	ENSG00000091136	4.674028437592777e-20	0.91684735	LAMB1
4	ENSG00000173546	5.418778857065196e-20	1.2412144	CSPG4
4	ENSG00000050555	1.4066830958504661e-18	0.9220045	LAMC3
4	ENSG00000100345	2.977638529834831e-18	0.81883365	MYH9
4	ENSG00000113140	9.212949113264429e-18	0.632249	SPARC
4	ENSG00000100234	5.91189101563542e-17	0.7968486	TIMP3
4	ENSG00000113721	8.180600359185396e-17	0.56723195	PDGFRB
4	ENSG00000170315	8.771824947506987e-17	-0.95913583	UBB
4	ENSG00000151914	3.0454021547856816e-16	0.8677718	DST
4	ENSG00000100201	8.965277401995769e-16	0.8574766	DDX17
4	ENSG00000150093	9.958060572791491e-16	0.72937304	ITGB1
4	ENSG00000134294	1.9230210269902997e-15	0.8520756	SLC38A2
4	ENSG00000182871	1.970030980799977e-15	0.81705314	COL18A1
4	ENSG00000134352	4.674802354243542e-15	1.0451729	IL6ST
4	ENSG00000113361	2.2533397582302562e-14	0.9926143	CDH6
4	ENSG00000170345	3.3083742831119254e-14	-0.9030276	FOS
4	ENSG00000175899	5.3331337140080736e-14	0.60949194	A2M
4	ENSG00000182963	6.024326290907592e-14	0.91261846	GJC1
4	ENSG00000181104	1.3615003721458076e-13	1.0708916	F2R
4	ENSG00000116016	2.767124802593663e-13	0.7172968	EPAS1
4	ENSG00000065534	3.183743181040368e-13	0.8638899	MYLK
4	ENSG00000171223	5.526071445154317e-13	-0.8285844	JUNB
4	ENSG00000131471	1.173626290577685e-12	0.9280205	AOC3
4	ENSG00000069122	2.018679605279804e-12	0.8162934	ADGRF5
4	ENSG00000142156	4.499615486116816e-12	0.8299145	COL6A1
4	ENSG00000150938	4.899586132831859e-12	0.8954785	CRIM1
4	ENSG00000163359	5.437778443741408e-12	0.8914309	COL6A3
4	ENSG00000115414	1.5576304000052163e-11	1.112959	FN1
4	ENSG00000124942	2.5445945843109845e-11	0.8325452	AHNAK
4	ENSG00000163430	5.883833931139252e-11	1.0175477	FSTL1
4	ENSG00000175745	6.012392479016472e-11	0.8685677	NR2F1
4	ENSG00000177119	6.933781417553369e-11	0.8333367	ANO6
4	ENSG00000080573	1.0009399592128547e-10	1.0385436	COL5A3
4	ENSG00000138760	1.4200102979586916e-10	1.1414522	SCARB2
4	ENSG00000117298	1.824202538479244e-10	0.8396908	ECE1
4	ENSG00000167996	2.2678996577399388e-10	-0.27127072	FTH1
4	ENSG00000069431	3.5542165176935273e-10	1.0369079	ABCC9
4	ENSG00000138031	3.7153486602564116e-10	0.8011949	ADCY3
4	ENSG00000121068	4.760385613883828e-10	0.66643995	TBX2
4	ENSG00000204262	7.046315634803828e-10	0.8583466	COL5A2
4	ENSG00000152583	8.687957778120902e-10	0.52972764	SPARCL1
4	ENSG00000111077	8.901832277907052e-10	0.76133245	TNS2
4	ENSG00000128641	1.0368576731605986e-09	0.62818676	MYO1B
4	ENSG00000054654	1.2029826346655822e-09	0.83405703	SYNE2
4	ENSG00000171303	1.9648921550739276e-09	0.64714503	KCNK3
4	ENSG00000168542	2.116058686553385e-09	1.0415453	COL3A1
4	ENSG00000213160	3.073317826155497e-09	0.7047429	KLHL23
4	ENSG00000035403	3.356266324806777e-09	0.7532395	VCL
4	ENSG00000065978	4.9423152412175555e-09	-0.81297547	YBX1
4	ENSG00000085224	6.560526126504133e-09	0.73298067	ATRX
4	ENSG00000142173	7.664066139329476e-09	0.5454525	COL6A2
4	ENSG00000149806	8.662135134307966e-09	-0.33930045	FAU
4	ENSG00000125740	9.1306733938735e-09	-1.0625528	FOSB
4	ENSG00000090006	1.1032861503278304e-08	1.2498966	LTBP4
4	ENSG00000083857	1.1993754428060308e-08	0.9679449	FAT1
4	ENSG00000152402	1.2505491537741108e-08	0.726444	GUCY1A2
4	ENSG00000134318	2.021523091506825e-08	0.7217366	ROCK2
4	ENSG00000107796	2.0618318381278946e-08	0.6773105	ACTA2
4	ENSG00000173812	2.120784309967966e-08	-0.18744005	EIF1
4	ENSG00000131711	2.1733482865855232e-08	0.6649226	MAP1B
4	ENSG00000020181	2.2919934905021698e-08	1.1547087	ADGRA2
4	ENSG00000137076	2.737726773122904e-08	0.7056218	TLN1
4	ENSG00000185551	2.9033877373523296e-08	0.57279116	NR2F2
4	ENSG00000111640	3.146480489396288e-08	-0.3743369	GAPDH
4	ENSG00000111452	3.4596192579143845e-08	0.7379339	ADGRD1
4	ENSG00000136546	3.8402263216502e-08	1.0811841	SCN7A
4	ENSG00000128016	4.2409430148698034e-08	-0.6019609	ZFP36
4	ENSG00000169100	4.779451887599065e-08	-0.6422072	SLC25A6
4	ENSG00000133392	6.811072623097206e-08	0.68294054	MYH11
4	ENSG00000171862	7.229442416144775e-08	0.6181455	PTEN
4	ENSG00000175445	9.989306278071949e-08	0.6474496	LPL
4	ENSG00000188612	1.019603597810365e-07	-0.75535	SUMO2
4	ENSG00000196569	1.0828568642954409e-07	0.77300406	LAMA2
4	ENSG00000182492	1.2338167869861778e-07	0.5594634	BGN
4	ENSG00000102780	1.3685927346008445e-07	0.7575826	DGKH
4	ENSG00000168653	1.7501474920299168e-07	-0.89857364	NDUFS5
4	ENSG00000177606	1.788921593328009e-07	-0.6156495	JUN
4	ENSG00000163041	1.880490644241372e-07	0.10882205	H3-3A
4	ENSG00000167978	1.891790066251061e-07	0.57043123	SRRM2
4	ENSG00000079308	1.972006561706361e-07	0.6545369	TNS1
4	ENSG00000003436	2.0195905469542387e-07	0.564154	TFPI
4	ENSG00000076641	2.235203954465173e-07	0.55893683	PAG1
4	ENSG00000160888	2.441248725679459e-07	-0.892266	IER2
4	ENSG00000099860	2.468580279225672e-07	-0.90743876	GADD45B
4	ENSG00000119138	2.524320115852256e-07	0.6649475	KLF9
4	ENSG00000111716	2.7703137914677425e-07	-1.0128684	LDHB
4	ENSG00000123384	2.795612229757091e-07	1.0134538	LRP1
4	ENSG00000196628	3.093934384151504e-07	0.5236607	TCF4
4	ENSG00000249669	3.129213272754153e-07	0.66322	CARMN
4	ENSG00000135862	3.295858217965958e-07	0.93476087	LAMC1
4	ENSG00000138688	3.6416005193900233e-07	0.72223246	BLTP1
4	ENSG00000104964	3.940990580218842e-07	0.7566753	TLE5
4	ENSG00000110237	4.502857884327038e-07	0.67048985	ARHGEF17
4	ENSG00000119729	5.13269595426643e-07	0.96457523	RHOQ
4	ENSG00000187800	5.575069125738442e-07	0.8980845	PEAR1
4	ENSG00000137831	6.179183200435568e-07	0.7020602	UACA
4	ENSG00000004399	6.267035080625385e-07	0.89678717	PLXND1
4	ENSG00000089220	6.536232583317085e-07	-0.70149785	PEBP1
4	ENSG00000115457	6.774218055298687e-07	0.64386123	IGFBP2
4	ENSG00000169554	7.379887581453538e-07	0.628395	ZEB2
4	ENSG00000142192	7.579240734411987e-07	0.57140285	APP
4	ENSG00000127603	7.863484900104362e-07	0.7174818	MACF1
4	ENSG00000112697	7.92307631623388e-07	0.99839723	TMEM30A
4	ENSG00000005022	8.587207997074767e-07	-0.95566684	SLC25A5
4	ENSG00000114857	9.547210069566313e-07	0.6938491	NKTR
4	ENSG00000130402	9.905655283568804e-07	0.5195345	ACTN4
