Gene_Name	Cell_Annotation	Proportion	Total_Cells
AGTR1	AT1	0.000377976565452942	3
AGTR1	AT2	0.000416633282589536	26
AGTR1	Adventitial fibroblasts	0.14698188160062	1517
AGTR1	Alveolar fibroblasts	0.131609417213431	682
AGTR1	Alveolar macrophages	0.000799330085261876	63
AGTR1	B cell	0.000221680336954112	1
AGTR1	Basal	0.000106241072798744	9
AGTR1	DC1	0	0
AGTR1	DC2	0.000109493047191503	1
AGTR1	EC arterial	0.000541198755242863	4
AGTR1	EC capillary	0.000560224089635854	13
AGTR1	EC venous	0.000308285163776493	4
AGTR1	Hematopoietic stem cells	0	0
AGTR1	Innate lymphoid cell NK	0.000294498763105195	5
AGTR1	Interstitial Mph perivascular	0	0
AGTR1	Ionocyte	0.0017825311942959	1
AGTR1	Lymphatic EC	0.000652883569096844	3
AGTR1	Mast cells	0.00135890080024158	9
AGTR1	Mesothelium	0.00869565217391304	2
AGTR1	Migratory DCs	0	0
AGTR1	Monocyte-derived Mph	0.000106296283173298	3
AGTR1	Monocytes	0.000452335180368653	12
AGTR1	Multiciliated	0.00017032459000438	7
AGTR1	Myofibroblasts	0.0195530726256983	14
AGTR1	Neuroendocrine	0.00628930817610063	1
AGTR1	Peribronchial fibroblasts	0.0400508582326764	63
AGTR1	Pericytes	0.481530343007916	1460
AGTR1	Plasma cells	0.00112803158488438	2
AGTR1	Plasmacytoid DCs	0	0
AGTR1	SMG duct	0	0
AGTR1	SMG mucous	0	0
AGTR1	SMG serous	0	0
AGTR1	Secretory	1.34238999114023e-05	1
AGTR1	Smooth muscle	0.0636261261261261	226
AGTR1	Smooth muscle FAM83D+	0.00895522388059702	3
AGTR1	Subpleural fibroblasts	0.0217391304347826	6
AGTR1	T cell lineage	0.000216284236811577	11
AGTR1	Transitional Club-AT2 cells	0.000514315103720213	3
AGTR1	Tuft	0	0
AGTR2	AT1	0.000125992188484314	1
AGTR2	AT2	0.083631119301338	5219
AGTR2	Adventitial fibroblasts	0.00116267803507412	12
AGTR2	Alveolar fibroblasts	0.00154380548050946	8
AGTR2	Alveolar macrophages	0.000482135606983354	38
AGTR2	B cell	0	0
AGTR2	Basal	4.72182545772196e-05	4
AGTR2	DC1	0.0062111801242236	2
AGTR2	DC2	0.00032847914157451	3
AGTR2	EC arterial	0.000676498444053579	5
AGTR2	EC capillary	0.000129282482223659	3
AGTR2	EC venous	0.000385356454720617	5
AGTR2	Hematopoietic stem cells	0.0166666666666667	1
AGTR2	Innate lymphoid cell NK	0.000117799505242078	2
AGTR2	Interstitial Mph perivascular	0.000416233090530697	2
AGTR2	Ionocyte	0	0
AGTR2	Lymphatic EC	0.00108813928182807	5
AGTR2	Mast cells	0	0
AGTR2	Mesothelium	0	0
AGTR2	Migratory DCs	0	0
AGTR2	Monocyte-derived Mph	0.000992098642950785	28
AGTR2	Monocytes	0.000301556786912435	8
AGTR2	Multiciliated	0.000632634191444839	26
AGTR2	Myofibroblasts	0	0
AGTR2	Neuroendocrine	0	0
AGTR2	Peribronchial fibroblasts	0.00699300699300699	11
AGTR2	Pericytes	0	0
AGTR2	Plasma cells	0.000564015792442188	1
AGTR2	Plasmacytoid DCs	0	0
AGTR2	SMG duct	0	0
AGTR2	SMG mucous	0	0
AGTR2	SMG serous	0	0
AGTR2	Secretory	8.05433994684136e-05	6
AGTR2	Smooth muscle	0.000281531531531532	1
AGTR2	Smooth muscle FAM83D+	0	0
AGTR2	Subpleural fibroblasts	0	0
AGTR2	T cell lineage	0.000216284236811577	11
AGTR2	Transitional Club-AT2 cells	0.00102863020744043	6
AGTR2	Tuft	0	0
