Gene_Name	Subcluster	Proportion	Total_Cells
AGTR1	Basal resting	2.58004592481746e-05	1
AGTR1	Suprabasal	0.000170299727520436	7
AGTR1	Hillock-like	0.000218531468531469	1
AGTR1	Deuterosomal	0	0
AGTR1	Multiciliated (nasal)	0	0
AGTR1	Multiciliated (non-nasal)	0.000199965720162258	7
AGTR1	Club (non-nasal)	0.00010148163182464	1
AGTR1	Club (nasal)	0	0
AGTR1	Goblet (nasal)	0	0
AGTR1	Goblet (bronchial)	0	0
AGTR1	Goblet (subsegmental)	0	0
AGTR1	AT0	0.000695410292072323	1
AGTR1	pre-TB secretory	0.000456412596987677	2
AGTR1	Ionocyte	0.0017825311942959	1
AGTR1	Tuft	0	0
AGTR1	Neuroendocrine	0.00632911392405063	1
AGTR1	SMG serous (nasal)	0	0
AGTR1	SMG serous (bronchial)	0	0
AGTR1	SMG mucous	0	0
AGTR1	SMG duct	0	0
AGTR1	AT1	0.000392310710082385	3
AGTR1	AT2	0.000423680479736666	26
AGTR1	AT2 proliferating	0	0
AGTR1	EC arterial	0.0005425200054252	4
AGTR1	EC aerocyte capillary	0.000140173815531259	1
AGTR1	EC general capillary	0.000762728023898811	12
AGTR1	EC venous systemic	0.000613779346324996	4
AGTR1	EC venous pulmonary	0	0
AGTR1	Lymphatic EC mature	0.000503018108651912	2
AGTR1	Lymphatic EC proliferating	0	0
AGTR1	Lymphatic EC differentiating	0.00177304964539007	1
AGTR1	Peribronchial fibroblasts	0.0403329065300896	63
AGTR1	Adventitial fibroblasts	0.147396035755927	1517
AGTR1	Alveolar fibroblasts	0.132258691007963	681
AGTR1	Pericytes	0.487641950567802	1460
AGTR1	Subpleural fibroblasts	0.0217391304347826	6
AGTR1	Myofibroblasts	0.0195804195804196	14
AGTR1	Smooth muscle	0.0636833046471601	185
AGTR1	Smooth muscle FAM83D+	0.00895522388059702	3
AGTR1	SM activated stress response	0.0737410071942446	41
AGTR1	Mesothelium	0.00869565217391304	2
AGTR1	Hematopoietic stem cells	0	0
AGTR1	B cells	0.000224971878515186	1
AGTR1	Plasma cells	0.00117302052785924	2
AGTR1	CD4 T cells	9.49622525046294e-05	2
AGTR1	CD8 T cells	0.000315911404401699	9
AGTR1	T cells proliferating	0	0
AGTR1	NK cells	0.000295787979176526	5
AGTR1	DC1	0	0
AGTR1	DC2	0.000110302228105008	1
AGTR1	Migratory DCs	0	0
AGTR1	Plasmacytoid DCs	0	0
AGTR1	Alveolar macrophages	0.000832797615568932	57
AGTR1	Alveolar Mph CCL3+	0.000743955362678239	6
AGTR1	Alveolar Mph MT-positive	0	0
AGTR1	Alveolar Mph proliferating	0	0
AGTR1	Monocyte-derived Mph	0.000106617385741702	3
AGTR1	Interstitial Mph perivascular	0	0
AGTR1	Classical monocytes	0.000567150635208712	10
AGTR1	Non-classical monocytes	0.000226423638627873	2
AGTR1	Mast cells	0.0013719512195122	9
AGTR2	Basal resting	0	0
AGTR2	Suprabasal	9.73141300116777e-05	4
AGTR2	Hillock-like	0	0
AGTR2	Deuterosomal	0	0
AGTR2	Multiciliated (nasal)	0	0
AGTR2	Multiciliated (non-nasal)	0.000742729817745529	26
AGTR2	Club (non-nasal)	0.000608889790947838	6
AGTR2	Club (nasal)	0	0
AGTR2	Goblet (nasal)	0	0
AGTR2	Goblet (bronchial)	0	0
AGTR2	Goblet (subsegmental)	0	0
AGTR2	AT0	0.00278164116828929	4
AGTR2	pre-TB secretory	0.000456412596987677	2
AGTR2	Ionocyte	0	0
AGTR2	Tuft	0	0
AGTR2	Neuroendocrine	0	0
AGTR2	SMG serous (nasal)	0	0
AGTR2	SMG serous (bronchial)	0	0
AGTR2	SMG mucous	0	0
AGTR2	SMG duct	0	0
AGTR2	AT1	0.000130770236694128	1
AGTR2	AT2	0.0841657568399955	5165
AGTR2	AT2 proliferating	0.0543032786885246	53
AGTR2	EC arterial	0.0006781500067815	5
AGTR2	EC aerocyte capillary	0	0
AGTR2	EC general capillary	0.000190682005974703	3
AGTR2	EC venous systemic	0.000460334509743747	3
AGTR2	EC venous pulmonary	0.000313528766264305	2
AGTR2	Lymphatic EC mature	0.00125754527162978	5
AGTR2	Lymphatic EC proliferating	0	0
AGTR2	Lymphatic EC differentiating	0	0
AGTR2	Peribronchial fibroblasts	0.00704225352112676	11
AGTR2	Adventitial fibroblasts	0.00116595413913719	12
AGTR2	Alveolar fibroblasts	0.00155369974752379	8
AGTR2	Pericytes	0	0
AGTR2	Subpleural fibroblasts	0	0
AGTR2	Myofibroblasts	0	0
AGTR2	Smooth muscle	0.000344234079173838	1
AGTR2	Smooth muscle FAM83D+	0	0
AGTR2	SM activated stress response	0	0
AGTR2	Mesothelium	0	0
AGTR2	Hematopoietic stem cells	0.0166666666666667	1
AGTR2	B cells	0	0
AGTR2	Plasma cells	0.000586510263929619	1
AGTR2	CD4 T cells	0.000237405631261574	5
AGTR2	CD8 T cells	0.000210607602934466	6
AGTR2	T cells proliferating	0	0
AGTR2	NK cells	0.00011831519167061	2
AGTR2	DC1	0.0062111801242236	2
AGTR2	DC2	0.000330906684315023	3
AGTR2	Migratory DCs	0	0
AGTR2	Plasmacytoid DCs	0	0
AGTR2	Alveolar macrophages	0.000379872596575303	26
AGTR2	Alveolar Mph CCL3+	0.00111593304401736	9
AGTR2	Alveolar Mph MT-positive	0.00166389351081531	2
AGTR2	Alveolar Mph proliferating	0.000942507068803016	1
AGTR2	Monocyte-derived Mph	0.000995095600255882	28
AGTR2	Interstitial Mph perivascular	0.000417275192989777	2
AGTR2	Classical monocytes	0.000113430127041742	2
AGTR2	Non-classical monocytes	0.000679270915883618	6
AGTR2	Mast cells	0	0
