gene	role
AGT	ras_substrate
REN	ras_protease
ACE	ras_protease
ACE2	ras_protease
CMA1	ras_protease
CTSG	ras_protease
CTSD	ras_protease
ENPEP	ras_protease
MME	ras_protease
AGTR1	ras_receptor
AGTR2	ras_receptor
LRP2	ras_receptor
MAS1	ras_receptor
TGFB1	comparator_ligand
TGFB2	comparator_ligand
TGFB3	comparator_ligand
CCN2	comparator_ligand
PDGFB	comparator_ligand
CDH5	program:EC_barrier_angiogenic
CLDN5	program:EC_barrier_angiogenic
OCLN	program:EC_barrier_angiogenic
TJP1	program:EC_barrier_angiogenic
ESAM	program:EC_barrier_angiogenic
JAM2	program:EC_barrier_angiogenic
S1PR1	program:EC_barrier_angiogenic
TEK	program:EC_barrier_angiogenic
KDR	program:EC_barrier_angiogenic
FLT1	program:EC_barrier_angiogenic
ANGPT2	program:EC_barrier_angiogenic
ESM1	program:EC_barrier_angiogenic
APLNR	program:EC_barrier_angiogenic
DLL4	program:EC_barrier_angiogenic
HEY1	program:EC_barrier_angiogenic
NRP1	program:EC_barrier_angiogenic
LOX	program:fibroblast_matrix
LOXL1	program:fibroblast_matrix
LOXL2	program:fibroblast_matrix
P4HA1	program:fibroblast_matrix
P4HA2	program:fibroblast_matrix
PLOD1	program:fibroblast_matrix
PLOD2	program:fibroblast_matrix
SERPINH1	program:fibroblast_matrix
PCOLCE	program:fibroblast_matrix
ADAMTS2	program:fibroblast_matrix
BMP1	program:fibroblast_matrix
ELN	program:fibroblast_matrix
FBLN1	program:fibroblast_matrix
FBLN2	program:fibroblast_matrix
MFAP5	program:fibroblast_matrix
CTHRC1	program:fibroblast_matrix
KRT8	program:epithelial_repair
KRT18	program:epithelial_repair
KRT19	program:epithelial_repair
KRT7	program:epithelial_repair
CLDN4	program:epithelial_repair
SFN	program:epithelial_repair
SOX4	program:epithelial_repair
CDKN1A	program:epithelial_repair
TP53I3	program:epithelial_repair
LCN2	program:epithelial_repair
