Feature	Age	term	estimate	std.error	statistic	p.value	p.bonf	p.bonf.sig	p.bonf.cat	p.fdr	log.p.bonf
Endothelium	31wk	AGTR2	-0.891373695309675	0.0394468584598931	-22.5968234255197	3.33901866794217e-11	4.34072426832482e-10	TRUE	<= 0.005	5.42590533540603e-11	9.36243780055805
Endothelium	3yr	AGTR2	-1.61000849063535	0.0766536309092623	-21.003682037465	0.00225910030923354	0.0293683040200361	TRUE	<= 0.05	0.00293683040200361	1.53212113267389
Epithelial	31wk	AGTR2	-0.242586041061743	0.131562306425202	-1.84388711062664	0.0766254100572407	0.996130330744129	FALSE	> 0.05	0.0830108608953441	0.00168383605419082
Epithelial	3yr	AGTR2	-1.88473484027451	0.313946810933885	-6.00335717591163	0.000322185822936383	0.00418841569817298	TRUE	<= 0.005	0.00046537952201922	2.37795022134292
Epithelial	31yr	AGTR2	0.469318680360358	0.0275238239435232	17.051361806534	2.52024680677901e-29	3.27632084881271e-28	TRUE	<= 0.005	5.46053474802118e-29	27.4846135745411
Immune	31wk	AGTR2	-1.65620026739627	0.0354015720415951	-46.7832407399963	2.45461354791775e-52	3.19099761229308e-51	TRUE	<= 0.005	7.97749403073269e-52	50.4960735207731
Immune	3yr	AGTR2	-1.2153548479062	0.0293308017563736	-41.4361277267883	2.22687327634994e-29	2.89493525925493e-28	TRUE	<= 0.005	5.46053474802118e-29	27.5383611441517
Immune	31yr	AGTR2	-0.524322674902266	0.200461068947317	-2.61558355273494	0.0225680246116308	0.293384319951201	FALSE	> 0.05	0.0266713018137455	0.532563100924371
Mesenchymal	31wk	AGTR2	-0.968840187761553	0.00386890189237072	-250.41735735715	0	0	TRUE	<= 0.005	0	Inf
Mesenchymal	3yr	AGTR2	-1.58722307177218	0.0155087779684652	-102.343529258048	4.65850015281215e-298	6.05605019865579e-297	TRUE	<= 0.005	3.0280250993279e-297	296.217810533622
Mesenchymal	31yr	AGTR2	-1.40602641657922	0.029763327316665	-47.2402296161278	2.35337912140096e-90	3.05939285782124e-89	TRUE	<= 0.005	1.01979761927375e-89	88.5143647515119
Unclassified	31wk	AGTR2	-0.896167976639273	0.0502609110539872	-17.8303169967744	1.17440451279989e-25	1.52672586663985e-24	TRUE	<= 0.005	2.18103695234265e-25	23.8162389362857
Unclassified	31yr	AGTR2	-0.0470356391145609	0.704295479715923	-0.0667839571163124	0.952829178367153	1	FALSE	> 0.05	0.952829178367153	0
airway_smooth_muscle	31wk	AGTR2	-0.711263680391823	0.182149274158685	-3.90483949868603	0.00293780954788108	0.0998855246279567	FALSE	> 0.05	0.00434284889686768	1.00049744500429
Alveolar_macrophages	31wk	AGTR2	-0.878834881976648	0.0314583790210958	-27.9364324966429	0.00127886405652127	0.0434813779217231	TRUE	<= 0.05	0.00197642626916923	1.36169670160693
Alveolar_macrophages	3yr	AGTR2	-0.918376588339677	0.110694026351127	-8.29653251049462	8.94227298552044e-07	3.04037281507695e-05	TRUE	<= 0.005	1.68909600837608e-06	4.51707315928488
Alveolar_macrophages	31yr	AGTR2	-0.666351158340956	0.0515535133360248	-12.9254267114191	1.21478966175816e-06	4.13028484997775e-05	TRUE	<= 0.005	2.17383413156724e-06	4.38401999567833
