Annotation	Annotation_Name	Gene	OR	P	FDR
Compartment	Immune	AGTR1	0.0205887491734666	1.83360855734165e-108	1.83360855734165e-107
Compartment	Unclassified	AGTR1	0.356513429452061	0.000211887428445427	0.00211887428445427
Compartment	Epithelial	AGTR1	0.0254729699408059	6.74609110851665e-154	6.74609110851665e-153
Compartment	Mesenchymal	AGTR1	102.492744469816	0	0
Compartment	Endothelium	AGTR1	0.0802144625527326	5.7756972785739e-23	5.7756972785739e-22
Compartment	Immune	AGTR2	0	2.86111504096983e-08	2.86111504096983e-07
Compartment	Unclassified	AGTR2	1.17053910493098	0.690352203916815	1
Compartment	Epithelial	AGTR2	5.45881020070339	2.83893614938835e-08	2.83893614938835e-07
Compartment	Mesenchymal	AGTR2	0.914196394076452	1	1
Compartment	Endothelium	AGTR2	0	0.0203653132355731	0.203653132355731
Cell type	Alveolar macrophages	AGTR1	0.0358967243824775	1.02251499718766e-29	7.15760498031364e-28
Cell type	Interstitial macrophages	AGTR1	0	2.81523894044558e-15	1.97066725831191e-13
Cell type	Non-classical monocytes	AGTR1	0.0784637818706137	9.95172542708732e-05	0.00696620779896112
Cell type	CD4 T cells	AGTR1	0.0127648376008039	1.21317005186545e-30	8.49219036305813e-29
Cell type	DC2	AGTR1	0	0.0237643270860856	1
Cell type	Classical monocytes	AGTR1	0	1	1
Cell type	AT2	AGTR1	0.0117065859181312	1.85277206349681e-89	1.29694044444777e-87
Cell type	AT1	AGTR1	0.0583547851033052	1.52331334130957e-42	1.0663193389167e-40
Cell type	B cells	AGTR1	0.0867702897938973	1.11179757162023e-07	7.7825830013416e-06
Cell type	CD8 T cells	AGTR1	0	6.30158834525576e-06	0.000441111184167903
Cell type	Mast cells	AGTR1	0	0.271561067923388	1
Cell type	Multiciliated	AGTR1	0.102688051630714	2.04897523247986e-06	0.00014342826627359
Cell type	Plasmacytoid DCs	AGTR1	0	0.628467338488722	1
Cell type	Migratory DCs	AGTR1	0	1	1
Cell type	Lymphatic EC	AGTR1	0.116357610593413	9.31299925429423e-08	6.51909947800596e-06
Cell type	Transitional Club-AT2	AGTR1	0.0596812259548331	2.30448221719906e-06	0.000161313755203934
Cell type	Basal resting	AGTR1	0	1	1
Cell type	Deuterosomal	AGTR1	0	1	1
Cell type	Goblet	AGTR1	0	1	1
Cell type	Suprabasal	AGTR1	0	1	1
Cell type	Club	AGTR1	0	1	1
Cell type	Plasma cells	AGTR1	0	0.187581372119234	1
Cell type	EC venous pulmonary	AGTR1	0	0.185857001486949	1
Cell type	EC general capillary	AGTR1	0.0901852730314754	2.31996228510902e-07	1.62397359957632e-05
Cell type	None	AGTR1	0	0.0237228787620182	1
Cell type	EC aerocyte capillary	AGTR1	0.103675810872462	3.13922546147866e-06	0.000219745782303506
Cell type	Pericytes	AGTR1	7.3471943609043	7.80777968149805e-55	5.46544577704864e-53
Cell type	EC venous systemic	AGTR1	0	1	1
Cell type	Alveolar fibroblasts	AGTR1	19.7096153352848	0	0
Cell type	Vascular smooth muscle	AGTR1	0.914140126915668	1	1
Cell type	Adventitial fibroblasts	AGTR1	4.42564671504135	1.56760501213313e-25	1.09732350849319e-23
Cell type	Myofibroblasts	AGTR1	0.607610103595961	0.423443384793616	1
Cell type	Peribronchial fibroblasts	AGTR1	0.930872134777878	1	1
Cell type	NK cells	AGTR1	0	0.626546660292177	1
Cell type	Neuroendocrine	AGTR1	0	1	1
Cell type	Alveolar macrophages	AGTR2	0	0.0131636870185619	0.921458091299335
Cell type	Interstitial macrophages	AGTR2	0	0.2745810639009	1
Cell type	Non-classical monocytes	AGTR2	0	1	1
Cell type	CD4 T cells	AGTR2	0	0.0209731665824036	1
Cell type	DC2	AGTR2	0	1	1
Cell type	Classical monocytes	AGTR2	0	1	1
Cell type	AT2	AGTR2	9.45984120037727	2.54586082972797e-14	1.78210258080958e-12
Cell type	AT1	AGTR2	0.242720931338628	0.0274784902695392	1
Cell type	B cells	AGTR2	0	0.405836522737459	1
Cell type	CD8 T cells	AGTR2	0	1	1
Cell type	Mast cells	AGTR2	0	1	1
Cell type	Multiciliated	AGTR2	0.840035540893069	1	1
Cell type	Plasmacytoid DCs	AGTR2	0	1	1
Cell type	Migratory DCs	AGTR2	0	1	1
Cell type	Lymphatic EC	AGTR2	0	0.409219287014041	1
Cell type	Transitional Club-AT2	AGTR2	0.979245331012069	1	1
Cell type	Basal resting	AGTR2	0	1	1
Cell type	Deuterosomal	AGTR2	0	1	1
Cell type	Goblet	AGTR2	0	1	1
Cell type	Suprabasal	AGTR2	0	1	1
Cell type	Club	AGTR2	0	1	1
Cell type	Plasma cells	AGTR2	0	1	1
Cell type	EC venous pulmonary	AGTR2	0	1	1
Cell type	EC general capillary	AGTR2	0	0.646316830680898	1
Cell type	None	AGTR2	0	1	1
Cell type	EC aerocyte capillary	AGTR2	0	0.633354669873234	1
Cell type	Pericytes	AGTR2	0	0.405836522737459	1
Cell type	EC venous systemic	AGTR2	0	1	1
Cell type	Alveolar fibroblasts	AGTR2	1.34524852753443	0.393822471792064	1
Cell type	Vascular smooth muscle	AGTR2	0	1	1
Cell type	Adventitial fibroblasts	AGTR2	0	0.405831281321248	1
Cell type	Myofibroblasts	AGTR2	0	1	1
Cell type	Peribronchial fibroblasts	AGTR2	4.98452040185112	0.186041252536322	1
Cell type	NK cells	AGTR2	0	1	1
Cell type	Neuroendocrine	AGTR2	0	1	1
