Gene_Name	term	estimate	std.error	statistic	p.value	p.bonf	p.bonf.sig	p.bonf.cat	p.fdr	log.p.bonf
AGTR1	Epithelial	-0.437263101821815	0.113205228560098	-3.86256984225497	0.000157500790303542	0.000945004741821253	TRUE	<= 0.005	0.000236251185455313	3.02456601229324
AGTR1	Immune	0.0510451740711065	0.125669186549286	0.406186874227019	0.685098735832409	1	FALSE	> 0.05	0.770074215737017	0
AGTR1	Stroma	0.608200724234417	0.112712144073177	5.39605318695339	2.17625971752274e-07	1.30575583051364e-06	TRUE	<= 0.005	1.30575583051364e-06	5.88413802625739
AGTR2	Epithelial	0.375598360719517	0.0929945804135724	4.03892741973917	8.00675568708693e-05	0.000480405341225216	TRUE	<= 0.005	0.000160135113741739	3.31839217268516
AGTR2	Immune	0.030219378988357	0.10323333491493	0.292728884650093	0.770074215737017	1	FALSE	> 0.05	0.770074215737017	0
AGTR2	Stroma	-0.415005562682861	0.0925895268170834	-4.48220848458089	1.32756146167311e-05	7.96536877003869e-05	TRUE	<= 0.005	3.98268438501934e-05	4.09879411300968
AGTR1	AT2	-1.01435714265307	0.261323936288095	-3.88160823329555	0.000125324599770433	0.0080207743853077	TRUE	<= 0.01	0.00401038719265385	2.09578369966715
AGTR1	Adventitial fibroblasts	-0.225113914339543	0.264918657249763	-0.849747302347633	0.396081649481695	1	FALSE	> 0.05	0.659400832348053	0
AGTR1	Alveolar fibroblasts	0.0297713712243565	0.264594993528116	0.112516759396632	0.910482093895397	1	FALSE	> 0.05	0.939852484021055	0
AGTR1	Alveolar macrophages	-0.578965431341813	0.271399281054663	-2.13326074075046	0.0336406813963624	1	FALSE	> 0.05	0.165615662259015	0
AGTR1	B cell	-0.273486092686651	0.563462088178613	-0.485367336018458	0.627737868638939	1	FALSE	> 0.05	0.763601226830149	0
AGTR1	Basal	-0.748540593932071	0.302851772419367	-2.4716401292694	0.0139536545465807	0.893033890981167	FALSE	> 0.05	0.148838981830194	0.0491320591553349
AGTR1	DC1	-1.03181953728199	0.436455856747006	-2.36408681732983	0.0186533196702305	1	FALSE	> 0.05	0.149226557361848	0
AGTR1	DC2	-0.795089319348333	0.384917885070067	-2.06560762746476	0.0396458813791765	1	FALSE	> 0.05	0.181238314876235	0
AGTR1	EC arterial	-0.675093650817867	0.308620895994391	-2.18745282506774	0.0294107662539152	1	FALSE	> 0.05	0.156857420020881	0
AGTR1	EC capillary	-0.0843660270883913	0.315883557793992	-0.267079513975247	0.78957476756189	1	FALSE	> 0.05	0.842213085399349	0
AGTR1	EC venous	-0.590141702975541	0.315883557793991	-1.86822545338182	0.0626166406315639	1	FALSE	> 0.05	0.222636944467783	0
AGTR1	Hematopoietic stem cells	-1.03181953728199	0.563462088178612	-1.83121377450139	0.0679700869352827	1	FALSE	> 0.05	0.223828610035092	0
AGTR1	Innate lymphoid cell NK	-0.434674516320234	0.384917885070071	-1.12926557372387	0.259606026784835	1	FALSE	> 0.05	0.593385204079623	0
AGTR1	Interstitial Mph perivascular	-1.03181953728199	0.436455856747004	-2.36408681732982	0.018653319670231	1	FALSE	> 0.05	0.149226557361848	0
AGTR1	Ionocyte	-0.217304423451423	0.563462088178614	-0.385659351375099	0.699997459381501	1	FALSE	> 0.05	0.785962059656422	0
AGTR1	Lymphatic EC	-0.705939997519767	0.315883557793991	-2.23481083488416	0.0260987075803274	1	FALSE	> 0.05	0.156857420020881	0
AGTR1	Mast cells	0.37842574218909	0.356364714759811	1.06190575698312	0.289054977368272	1	FALSE	> 0.05	0.616650618385646	0
AGTR1	Mesothelium	-0.159537538886069	0.436455856747005	-0.365529609512255	0.71495029173335	1	FALSE	> 0.05	0.788910666740249	0
AGTR1	Monocyte-derived Mph	-0.813492670655242	0.308620895994388	-2.63589627667348	0.00878793179186633	0.562427634679445	FALSE	> 0.05	0.112485526935889	0.249933348560884
AGTR1	Monocytes	-0.206215851902961	0.298156111706752	-0.691637178666261	0.489651505609018	1	FALSE	> 0.05	0.671163809920014	0
AGTR1	Multiciliated	-0.822162987156348	0.294258478590108	-2.79401630530957	0.00550997148863525	0.352638175272656	FALSE	> 0.05	0.105220450200335	0.452670674416672
AGTR1	Myofibroblasts	-0.0924245301220137	0.338077252907168	-0.273382871303064	0.784729933988713	1	FALSE	> 0.05	0.842213085399349	0
AGTR1	Neuroendocrine	-0.541566178202628	0.563462088178613	-0.961140402459439	0.337185284426593	1	FALSE	> 0.05	0.653935097069755	0
AGTR1	Peribronchial fibroblasts	-0.0118906068496202	0.270678431757601	-0.043928904022425	0.964987644097905	1	FALSE	> 0.05	0.979080756279929	0
AGTR1	Pericytes	0.544513837196832	0.270678431757601	2.01166318890327	0.0450679886249691	1	FALSE	> 0.05	0.192290084799868	0
AGTR1	Plasma cells	-0.388985668619472	0.38491788507007	-1.01056792554251	0.312963660189176	1	FALSE	> 0.05	0.625927320378351	0
AGTR1	Secretory	-0.410957911610602	0.338077252907168	-1.21557397925097	0.225016145622468	1	FALSE	> 0.05	0.553885896916844	0
AGTR1	Smooth muscle	0.216961081179842	0.268805202111016	0.807131258904127	0.420172212772108	1	FALSE	> 0.05	0.669462972940661	0
