Feature	term	estimate	std.error	statistic	p.value	p.bonf	p.bonf.sig	p.bonf.cat	p.fdr	log.p.bonf
Endothelial	AGTR2	-0.0675783063622489	0.159229468534491	-0.424408289396573	0.673336123173748	1	FALSE	> 0.05	0.673336123173748	0
Epithelial	AGTR2	0.745283156179085	0.058660611173079	12.7050015551341	5.88012065786673e-24	2.35204826314669e-23	TRUE	<= 0.005	1.17602413157335e-23	22.6285537709449
Immune	AGTR2	-0.0884041014449977	0.140783790711765	-0.627942329142087	0.532276070488817	1	FALSE	> 0.05	0.673336123173748	0
Stroma	AGTR2	-1.09078459327953	0.0654669773457508	-16.6616000540053	1.94692491102038e-33	7.78769964408153e-33	TRUE	<= 0.005	7.78769964408153e-33	32.108590806694
AT1	AGTR2	-0.856442600488663	0.522197050403345	-1.64007552288384	0.152100081131415	1	FALSE	> 0.05	0.31005574993375	0
AT2	AGTR2	0.925945641776328	0.0430843754251666	21.4914486432467	4.78115000771045e-40	1.33872200215893e-38	TRUE	<= 0.005	1.33872200215893e-38	37.873309598838
Adventitial_fibroblasts	AGTR2	-0.764421953152566	0.0710558678541808	-10.7580411898043	8.70353837949506e-17	2.43699074625862e-15	TRUE	<= 0.005	4.87398149251723e-16	14.6131461199152
Alveolar_fibroblasts	AGTR2	-1.05090006075316	0.0641720201073877	-16.3762970059933	1.21796080732036e-26	3.41029026049702e-25	TRUE	<= 0.005	1.24831951551348e-25	24.4672086552693
Alveolar_macrophages	AGTR2	-0.105882668093993	0.140569715293171	-0.753239542906985	0.454984780850678	1	FALSE	> 0.05	0.606646374467571	0
B_cell	AGTR2	-0.758333444595337								
Basal	AGTR2	-0.102137090017398	0.156991524247882	-0.650589836022794	0.524544585414271	1	FALSE	> 0.05	0.63857601702607	0
DC1	AGTR2	0.441152557730675	0.0518208593130113	8.51303053594694	0.0135193074361197	0.378540608211352	FALSE	> 0.05	0.0344127825646683	0.421887524417216
DC2	AGTR2	0.427551140387853	0.317216443056	1.34782149458871	0.248990929651081	1	FALSE	> 0.05	0.435734126889391	0
EC_arterial	AGTR2	-0.0255324728786945	0.244076034907644	-0.104608684291171	0.918170235187193	1	FALSE	> 0.05	0.959181557288949	0
EC_capillary	AGTR2	-0.406092604001363	0.408935398136343	-0.993048305067414	0.340289073613752	1	FALSE	> 0.05	0.546349742982222	0
EC_venous	AGTR2	-0.0218449064663478	0.227003427038155	-0.0962316153168741	0.924925073100058	1	FALSE	> 0.05	0.959181557288949	0
Hematopoietic_stem_cells	AGTR2	0.981479287147522								
Innate_lymphoid_cell_NK	AGTR2	0.00312223037083915	0.483089781748086	0.00646304370078206	0.995152759406353	1	FALSE	> 0.05	0.995152759406353	0
Interstitial_Mph_perivascular	AGTR2	0.905393451452255	0.112048417329788	8.08037697478085	0.0149725880344771	0.41923246496536	FALSE	> 0.05	0.0349360387471133	0.377545093368375
Ionocyte	AGTR2	-0.814515113830566								
Lymphatic_EC	AGTR2	0.266114132744925	0.321660984505121	0.827312436273069	0.424206775761496	1	FALSE	> 0.05	0.593889486066095	0
Mast_cells	AGTR2	-1.41024527947108	0.122983027846348	-11.4669910488218	2.64065037378654e-05	0.00073938210466023	TRUE	<= 0.005	9.24227630825287e-05	3.13113106490893
Mesothelium	AGTR2	-0.87228199839592	0.00264272093772888	-330.069658866648	9.17873458601152e-06	0.000257004568408323	TRUE	<= 0.005	3.67149383440461e-05	3.59005915675862
Monocyte-derived_Mph	AGTR2	0.31474556773901	0.209395105991109	1.50311807073645	0.155027874966875	1	FALSE	> 0.05	0.31005574993375	0
Monocytes	AGTR2	-0.0587070113420487	0.406656185199186	-0.144365224183897	0.886816164746563	1	FALSE	> 0.05	0.959181557288949	0
Multiciliated	AGTR2	0.186877202242613	0.149119321844132	1.25320582156314	0.224584503947811	1	FALSE	> 0.05	0.419224407369248	0
Myofibroblasts	AGTR2	-0.939395007159975	0.170639310240227	-5.50515004917383	0.00057027043056046	0.0159675720556929	TRUE	<= 0.05	0.00177417467285477	1.79676111535666
Neuroendocrine	AGTR2	-0.490253359079361								
Peribronchial_fibroblasts	AGTR2	-0.944574898909846	0.130566616753711	-7.23442884862065	2.58034646431226e-09	7.22497010007434e-08	TRUE	<= 0.005	1.20416168334572e-08	7.14116394585856
Pericytes	AGTR2	-1.57633337447882	0.0745144832384319	-21.1547246383613	1.33748519519301e-26	3.74495854654043e-25	TRUE	<= 0.005	1.24831951551348e-25	24.4265529852031
Plasma_cells	AGTR2	-0.430529495080312	0.421364822427881	-1.02174997096251	0.364664406290202	1	FALSE	> 0.05	0.546349742982222	0
Secretory	AGTR2	0.0967770338058472	0.683082798828452	0.141676871342432	0.890838067925549	1	FALSE	> 0.05	0.959181557288949	0
