from	to	edge_class	drawn
VSMC_AGT	AngI	substrate	TRUE
AlvFib_AGT	AngI	substrate	TRUE
AdvFib_AGT	AngI	substrate	TRUE
AngI	AngII	processing	TRUE
ECaero_ACE	AngII	processing	TRUE
ECgcap_ACE	AngII	processing	TRUE
AlvMac_ACE	AngII	processing	TRUE
Mast_CMA1	AngII	processing	TRUE
Mast_CTSG	AngII	processing	TRUE
AngII	Peri_AT1R_response	receptor	TRUE
Peri_AGTR1	Peri_AT1R_response	receptor	TRUE
Peri_AT1R_response	contractile	response	TRUE
Peri_AT1R_response	inflammatory	response	TRUE
Peri_AT1R_response	matrix	response	TRUE
matrix	BM	matrix	TRUE
matrix	FIB	matrix	TRUE
BM	out_EC	neighbor	TRUE
FIB	out_FIB	neighbor	TRUE
Peri_AT1R_response	out_EPI	neighbor	TRUE
AngII	Ang17	counter_regulatory	TRUE
Peri_ACE2	Ang17	counter_regulatory	TRUE
Ang17	Peri_MAS1	counter_regulatory	TRUE
VSMC_AGT	Peri_AGTR1	forbidden	FALSE
