cluster	gene_id	pval	logFC	gene_name
1	ENSG00000122786	1.93907694888742e-121	-0.2179384	CALD1
1	ENSG00000168899	2.756939838528532e-28	1.4535205	VAMP5
1	ENSG00000111348	7.66897471080042e-28	1.3545289	ARHGDIB
1	ENSG00000147526	6.243835880932102e-26	0.09112293	TACC1
1	ENSG00000107438	1.8545622620659216e-25	1.3489946	PDLIM1
1	ENSG00000136810	1.8020500050278633e-24	1.3686086	TXN
1	ENSG00000172638	7.049843697858468e-24	1.3335369	EFEMP2
1	ENSG00000179010	7.359666318739838e-24	1.3358142	MRFAP1
1	ENSG00000132432	5.587469289034139e-23	1.4140636	SEC61G
1	ENSG00000182718	6.957111863956805e-23	1.272236	ANXA2
1	ENSG00000127920	9.260758837047412e-23	1.3466545	GNG11
1	ENSG00000134333	9.5597686146611e-23	1.3471222	LDHA
1	ENSG00000102316	1.309452664250211e-22	1.2742742	MAGED2
1	ENSG00000166136	1.8228842028051223e-22	1.3850617	NDUFB8
1	ENSG00000148834	1.891049356089883e-22	1.3544672	GSTO1
1	ENSG00000155366	5.216544432021682e-22	1.2462583	RHOC
1	ENSG00000120306	5.534938816980611e-22	1.2796676	CYSTM1
1	ENSG00000170955	8.2480441258635115e-22	1.2584703	CAVIN3
1	ENSG00000163479	1.3868817264845694e-21	1.2520951	SSR2
1	ENSG00000131174	1.6011964689207512e-21	1.2615582	COX7B
1	ENSG00000086598	1.8136818567200522e-21	1.2850835	TMED2
1	ENSG00000188229	2.1643624329555827e-21	1.2638822	TUBB4B
1	ENSG00000051523	5.756711978468084e-21	1.2263287	CYBA
1	ENSG00000141401	1.2543190066867187e-20	1.2306406	IMPA2
1	ENSG00000176014	1.485222005874293e-20	1.4515045	TUBB6
1	ENSG00000122566	2.3521497485832202e-20	0.16449521	HNRNPA2B1
1	ENSG00000189129	2.591639722102976e-20	1.225294	PLAC9
1	ENSG00000182636	3.220236164044387e-20	1.284166	NDN
1	ENSG00000163191	3.940441650961372e-20	1.2156017	S100A11
1	ENSG00000168938	4.151844873699353e-20	1.4546801	PPIC
1	ENSG00000065518	6.504822172389883e-20	1.2366225	NDUFB4
1	ENSG00000151366	1.3033971264831276e-19	1.2729532	NDUFC2
1	ENSG00000171314	1.4923441214050476e-19	1.2204579	PGAM1
1	ENSG00000100804	1.9373093460137624e-19	1.2632139	PSMB5
1	ENSG00000074800	3.1121431228813824e-19	1.385385	ENO1
1	ENSG00000110492	3.1530284227364824e-19	1.2447604	MDK
1	ENSG00000109610	3.6149802114852586e-19	1.1473365	SOD3
1	ENSG00000101439	4.4272560182907075e-19	0.10280278	CST3
1	ENSG00000177700	5.717836074811728e-19	1.2166655	POLR2L
1	ENSG00000183648	6.329501695201696e-19	1.3342746	NDUFB1
1	ENSG00000125971	7.258440029931374e-19	1.1993246	DYNLRB1
1	ENSG00000164258	8.672025504943183e-19	1.3387146	NDUFS4
1	ENSG00000167815	1.4578545843138813e-18	1.2779264	PRDX2
1	ENSG00000113732	1.807070519786296e-18	1.1990589	ATP6V0E1
1	ENSG00000109971	2.2304522128165066e-18	1.1479163	HSPA8
1	ENSG00000177697	5.510154882318364e-18	1.1858742	CD151
1	ENSG00000104763	9.290811368434818e-18	1.1564475	ASAH1
1	ENSG00000164405	9.907109134126376e-18	1.1646918	UQCRQ
