arm	panel	genes	mean_detect
smad	null_smad_0001	MTERF3,VKORC1,TNFSF12,MTSS2,STX7,WASHC2A,PSMB10	0.09206213307240706
smad	null_smad_0002	CHUK,FXYD6,TNFSF12,MTSS2,STX7,MACROD1,PRPF19	0.09208659491193738
smad	null_smad_0003	SUSD4,CCDC186,TNFSF12,MTSS2,SMC1A,MED7,PSMB10	0.09206213307240706
smad	null_smad_0004	CHUK,CCDC186,TMED5,MTSS2,SMC1A,CTDP1,TTC9C	0.09206213307240706
smad	null_smad_0005	UTP14C,FXYD6,PRCC,MTSS2,STX7,AKAP7,PRPF19	0.09208659491193738
smad	null_smad_0006	SUSD4,CCDC186,TNFSF12,MTSS2,SMC1A,MACROD1,USP6NL	0.09206213307240706
smad	null_smad_0007	SUSD4,CCDC186,DAB2IP,MTSS2,STX7,WASHC2A,PSMB10	0.09206213307240706
smad	null_smad_0008	UTP14C,CCDC186,ABHD12,MTSS2,STX7,AKAP7,SMIM20	0.09206213307240706
smad	null_smad_0009	RAB11FIP1,CCDC186,TNFSF12,MTSS2,SMC1A,CTDP1,SETD7	0.09206213307240706
smad	null_smad_0010	CHUK,CCDC186,DAB2IP,MTSS2,STX7,TMTC1,ANAPC7	0.09206213307240706
smad	null_smad_0011	MTERF3,FXYD6,ABHD12,MTSS2,SMC1A,ZBTB8A,ANAPC7	0.09208659491193738
smad	null_smad_0012	UTP14C,SMARCA1,DAB2IP,MTSS2,STX7,TMTC1,SMIM20	0.09208659491193738
smad	null_smad_0013	RAB11FIP1,CCDC186,TTTY14,MTSS2,STX7,MED7,PSMB10	0.09206213307240706
smad	null_smad_0014	RAB11FIP1,FXYD6,ABHD12,MTSS2,SMC1A,ZBTB8A,USP6NL	0.09208659491193738
smad	null_smad_0015	SUSD4,CCDC186,TTTY14,MTSS2,SMC1A,GMPPA,SMIM20	0.09206213307240706
smad	null_smad_0016	SUSD4,FXYD6,TNFSF12,MTSS2,SMC1A,ZBTB8A,SMIM20	0.09208659491193738
smad	null_smad_0017	RAB11FIP1,SMARCA1,TNFSF12,MTSS2,STX7,NSMF,ANAPC7	0.09208659491193738
smad	null_smad_0018	MTERF3,SMARCA1,TNFSF12,MTSS2,STX7,WASHC2A,ANAPC7	0.09208659491193738
smad	null_smad_0019	CHUK,CCDC186,ABHD12,MTSS2,SMC1A,NSMF,SETD7	0.09206213307240706
smad	null_smad_0020	RAB11FIP1,SMARCA1,TMED5,MTSS2,STX7,AKAP7,ANAPC7	0.09208659491193738
smad	null_smad_0021	RAB11FIP1,CCDC186,PRCC,MTSS2,SMC1A,CTDP1,PRPF19	0.09206213307240706
smad	null_smad_0022	LRATD1,CCDC186,TMED5,MTSS2,STX7,GMPPA,USP6NL	0.09206213307240706
smad	null_smad_0023	LRATD1,FXYD6,SEMA4B,MTSS2,SMC1A,MACROD1,ANAPC7	0.09208659491193738
smad	null_smad_0024	MTERF3,VKORC1,TMED5,MTSS2,SMC1A,AKAP7,PRPF19	0.09206213307240706
smad	null_smad_0025	MTERF3,FXYD6,TMED5,MTSS2,SMC1A,TMTC1,ANAPC7	0.09208659491193738
smad	null_smad_0026	MTERF3,FXYD6,TNFSF12,MTSS2,STX7,AKAP7,ANAPC7	0.09208659491193738
smad	null_smad_0027	UTP14C,FXYD6,TTTY14,MTSS2,STX7,TMTC1,USP6NL	0.09208659491193738
smad	null_smad_0028	LRATD1,FXYD6,TNFSF12,MTSS2,SMC1A,WASHC2A,ANAPC7	0.09208659491193738
smad	null_smad_0029	UTP14C,SMARCA1,TMED5,MTSS2,SMC1A,NSMF,USP6NL	0.09208659491193738
smad	null_smad_0030	UTP14C,CCDC186,SEMA4B,MTSS2,STX7,AKAP7,SMIM20	0.09206213307240706
smad	null_smad_0031	SUSD4,FXYD6,TTTY14,MTSS2,STX7,CTDP1,USP6NL	0.09208659491193738
smad	null_smad_0032	LRATD1,VKORC1,TNFSF12,MTSS2,STX7,MED7,USP6NL	0.09206213307240706
smad	null_smad_0033	SUSD4,SMARCA1,TMED5,MTSS2,STX7,WASHC2A,USP6NL	0.09208659491193738
smad	null_smad_0034	RAB11FIP1,CCDC186,TMED5,MTSS2,SMC1A,GMPPA,PRPF19	0.09206213307240706
smad	null_smad_0035	LRATD1,FXYD6,TNFSF12,MTSS2,STX7,GMPPA,TTC9C	0.09208659491193738
smad	null_smad_0036	MTERF3,FXYD6,DAB2IP,MTSS2,SMC1A,ZBTB8A,SMIM20	0.09208659491193738
smad	null_smad_0037	SUSD4,FXYD6,TNFSF12,MTSS2,SMC1A,GMPPA,TTC9C	0.09208659491193738
smad	null_smad_0038	MTERF3,FXYD6,SEMA4B,MTSS2,STX7,NSMF,PSMB10	0.09208659491193738
smad	null_smad_0039	MTERF3,SMARCA1,TNFSF12,MTSS2,SMC1A,MACROD1,USP6NL	0.09208659491193738
smad	null_smad_0040	RAB11FIP1,SMARCA1,TNFSF12,MTSS2,SMC1A,TMTC1,PSMB10	0.09208659491193738
smad	null_smad_0041	UTP14C,VKORC1,SEMA4B,MTSS2,SMC1A,ZBTB8A,PRPF19	0.09206213307240706
smad	null_smad_0042	UTP14C,CCDC186,TMED5,MTSS2,STX7,MACROD1,SETD7	0.09206213307240706
smad	null_smad_0043	LRATD1,FXYD6,TNFSF12,MTSS2,STX7,MED7,PSMB10	0.09208659491193738
smad	null_smad_0044	LRATD1,FXYD6,TTTY14,MTSS2,STX7,GMPPA,ANAPC7	0.09208659491193738
smad	null_smad_0045	MTERF3,CCDC186,TMED5,MTSS2,SMC1A,AKAP7,USP6NL	0.09206213307240706
smad	null_smad_0046	LRATD1,VKORC1,TTTY14,MTSS2,STX7,GMPPA,USP6NL	0.09206213307240706
smad	null_smad_0047	LRATD1,CCDC186,TTTY14,MTSS2,STX7,MED7,SMIM20	0.09206213307240706
smad	null_smad_0048	CHUK,FXYD6,PRCC,MTSS2,STX7,ZBTB8A,USP6NL	0.09208659491193738
smad	null_smad_0049	SUSD4,VKORC1,TNFSF12,MTSS2,SMC1A,GMPPA,SETD7	0.09206213307240706
smad	null_smad_0050	SUSD4,FXYD6,TNFSF12,MTSS2,SMC1A,TMTC1,SMIM20	0.09208659491193738
smad	null_smad_0051	UTP14C,VKORC1,TMED5,MTSS2,SMC1A,ZBTB8A,ANAPC7	0.09206213307240706
smad	null_smad_0052	MTERF3,CCDC186,ABHD12,MTSS2,STX7,CTDP1,SMIM20	0.09206213307240706
smad	null_smad_0053	MTERF3,FXYD6,PRCC,MTSS2,STX7,NSMF,TTC9C	0.09208659491193738
smad	null_smad_0054	RAB11FIP1,FXYD6,ABHD12,MTSS2,STX7,MED7,PSMB10	0.09208659491193738
smad	null_smad_0055	LRATD1,SMARCA1,SEMA4B,MTSS2,SMC1A,GMPPA,TTC9C	0.09208659491193738
smad	null_smad_0056	LRATD1,VKORC1,TNFSF12,MTSS2,STX7,MACROD1,SETD7	0.09206213307240706
smad	null_smad_0057	MTERF3,CCDC186,TTTY14,MTSS2,SMC1A,AKAP7,USP6NL	0.09206213307240706
smad	null_smad_0058	UTP14C,VKORC1,ABHD12,MTSS2,STX7,MED7,PRPF19	0.09206213307240706
smad	null_smad_0059	CHUK,SMARCA1,SEMA4B,MTSS2,SMC1A,NSMF,SMIM20	0.09208659491193738
