cluster	gene_id	pval	logFC	gene_name
0	ENSG00000122786	1.2847704074107949e-130	0.22254881	CALD1
0	ENSG00000107438	1.0647194392045933e-30	-1.5197229	PDLIM1
0	ENSG00000147526	2.4797880856205505e-30	-0.10085819	TACC1
0	ENSG00000111348	1.1595303211857165e-29	-1.4074787	ARHGDIB
0	ENSG00000168899	2.4686795039289405e-29	-1.565345	VAMP5
0	ENSG00000179010	3.1340388779172394e-25	-1.407084	MRFAP1
0	ENSG00000182718	9.487236173269266e-25	-1.3617018	ANXA2
0	ENSG00000170955	5.436066760362687e-24	-1.3372252	CAVIN3
0	ENSG00000182636	2.3282817999285007e-23	-1.4438635	NDN
0	ENSG00000136810	8.612950150490663e-23	-1.3824778	TXN
0	ENSG00000109610	1.1309794830444946e-22	-1.2424241	SOD3
0	ENSG00000172638	2.0120341529211143e-22	-1.3552241	EFEMP2
0	ENSG00000086598	2.4346389949498257e-22	-1.3419411	TMED2
0	ENSG00000163479	6.133527505887274e-22	-1.2733085	SSR2
0	ENSG00000125971	7.437385678383642e-22	-1.2980428	DYNLRB1
0	ENSG00000120306	1.0069934823962488e-21	-1.3197876	CYSTM1
0	ENSG00000102316	1.58746138584731e-21	-1.2632829	MAGED2
0	ENSG00000065518	1.9165641356233525e-21	-1.3126366	NDUFB4
0	ENSG00000158747	5.705491097218157e-21	-1.3842547	NBL1
0	ENSG00000141401	8.788654129257603e-21	-1.2606351	IMPA2
0	ENSG00000177700	9.761736023334271e-21	-1.314011	POLR2L
0	ENSG00000132432	1.0599045348634562e-20	-1.4326696	SEC61G
0	ENSG00000132424	2.1103855320165872e-20	0.20205751	PNISR
0	ENSG00000134333	3.3785990689798976e-20	-1.33346	LDHA
0	ENSG00000163191	3.5306025275180663e-20	-1.2422471	S100A11
0	ENSG00000166136	5.002839625413238e-20	-1.389608	NDUFB8
0	ENSG00000113732	6.194048323116163e-20	-1.2271719	ATP6V0E1
0	ENSG00000148834	1.9894149570590976e-19	-1.329952	GSTO1
0	ENSG00000175203	2.1343109489131766e-19	-1.4817485	DCTN2
0	ENSG00000131174	2.3948890996502414e-19	-1.234295	COX7B
0	ENSG00000109971	3.244055274305396e-19	-1.1724657	HSPA8
0	ENSG00000106803	6.660279591925104e-19	-1.19672	SEC61B
0	ENSG00000111843	6.756563836902952e-19	-1.2937559	TMEM14C
0	ENSG00000164405	1.1516075435508817e-18	-1.2301174	UQCRQ
0	ENSG00000152234	1.5629255611453984e-18	-1.2791566	ATP5F1A
0	ENSG00000164258	2.604857099738952e-18	-1.4367119	NDUFS4
0	ENSG00000093010	3.08785932124548e-18	-1.198928	COMT
0	ENSG00000137575	3.1602045016870026e-18	-1.2637728	SDCBP
0	ENSG00000132963	6.145902381916209e-18	-1.1802022	POMP
0	ENSG00000189129	8.665946688799189e-18	-1.179523	PLAC9
0	ENSG00000143870	9.778360615069242e-18	-1.2055514	PDIA6
0	ENSG00000151366	1.125280814341025e-17	-1.2562914	NDUFC2
0	ENSG00000169976	1.290157176688283e-17	-1.4883435	SF3B5
0	ENSG00000277791	1.3751803464375909e-17	-1.2934252	PSMB3
0	ENSG00000155366	1.381442825547971e-17	-1.1468426	RHOC
0	ENSG00000171314	1.3953195114651616e-17	-1.1826	PGAM1
0	ENSG00000104388	1.7079313417088676e-17	-1.1314552	RAB2A
0	ENSG00000127920	1.807902479903871e-17	-1.2236478	GNG11
0	ENSG00000110955	1.9032823198935568e-17	-1.1590829	ATP5F1B
0	ENSG00000154723	1.9450603585737506e-17	-1.1726155	ATP5PF
0	ENSG00000074800	2.0262138152935998e-17	-1.4467098	ENO1
0	ENSG00000140990	2.1990702357317145e-17	-1.1861471	NDUFB10
