cluster	gene_id	pval	logFC	gene_name
2	ENSG00000173812	1.9430402831385787e-18	0.5320135	EIF1
2	ENSG00000087074	4.970198865011462e-16	1.0309575	PPP1R15A
2	ENSG00000167658	2.4805664425510565e-15	0.6775325	EEF2
2	ENSG00000156508	2.30543896257318e-14	0.34765074	EEF1A1
2	ENSG00000120129	6.425359745420584e-13	0.7002511	DUSP1
2	ENSG00000149806	7.815048609615333e-13	0.4984346	FAU
2	ENSG00000132475	1.6693398040372165e-12	0.4437655	H3-3B
2	ENSG00000133112	4.662504557766992e-12	0.4205683	TPT1
2	ENSG00000221869	1.2058993798937108e-11	0.44417426	CEBPD
2	ENSG00000171223	1.292742463045549e-11	0.6147274	JUNB
2	ENSG00000084207	1.926901472535797e-11	0.6052489	GSTP1
2	ENSG00000177606	3.347999826198797e-11	0.71044576	JUN
2	ENSG00000187498	3.649984706038543e-11	-0.45640355	COL4A1
2	ENSG00000196531	4.2993914500852506e-11	0.48423445	NACA
2	ENSG00000204628	7.096256932390402e-11	0.46681523	RACK1
2	ENSG00000164692	1.5842348270467735e-10	-0.7212068	COL1A2
2	ENSG00000170345	2.1951976825938309e-10	0.64830995	FOS
2	ENSG00000087086	4.717494267977087e-09	0.2895876	FTL
2	ENSG00000167996	8.539310890907355e-09	0.27181378	FTH1
2	ENSG00000050555	1.2664197326587906e-08	-0.6005405	LAMC3
2	ENSG00000102804	1.8902812929570346e-08	0.46853766	TSC22D1
2	ENSG00000140264	2.213533481040162e-08	0.46139753	SERF2
2	ENSG00000140319	3.642274358512772e-08	0.4750153	SRP14
2	ENSG00000089220	3.721836312764539e-08	0.5112187	PEBP1
2	ENSG00000146278	4.4779963942000335e-08	0.4403729	PNRC1
2	ENSG00000221983	5.96758833451878e-08	0.45171067	UBA52
2	ENSG00000145741	1.0867630460197049e-07	0.45542064	BTF3
2	ENSG00000091136	1.3556729477360736e-07	-0.53115135	LAMB1
2	ENSG00000104529	1.605357294610317e-07	0.42230308	EEF1D
2	ENSG00000125534	1.7459621495762026e-07	0.5133624	PPDPF
2	ENSG00000118816	1.792625438784555e-07	0.4630123	CCNI
2	ENSG00000134871	1.9262975182087974e-07	-0.26267824	COL4A2
2	ENSG00000157514	1.9661868635346316e-07	0.42609647	TSC22D3
2	ENSG00000143878	2.2536848647374307e-07	0.39223596	RHOB
2	ENSG00000172216	3.392922098889824e-07	0.4396604	CEBPB
2	ENSG00000068697	4.046522069775325e-07	0.43894738	LAPTM4A
2	ENSG00000133639	5.283473285051155e-07	0.3110551	BTG1
2	ENSG00000188612	5.822786958790739e-07	0.434807	SUMO2
2	ENSG00000187514	6.622575884169342e-07	0.30791572	PTMA
2	ENSG00000124942	9.41470187157558e-07	-0.6513606	AHNAK
2	ENSG00000106153	9.42729817605464e-07	0.47802615	CHCHD2
2	ENSG00000118526	1.0203974429520922e-06	0.4746502	TCF21
2	ENSG00000135940	1.997548164262313e-06	0.5153831	COX5B
2	ENSG00000169100	2.0760659918136487e-06	0.41030005	SLC25A6
2	ENSG00000245532	3.127127888229401e-06	-0.35203564	NEAT1
2	ENSG00000205542	3.5973540792041125e-06	0.38354757	TMSB4X
2	ENSG00000116962	3.655301787721332e-06	-0.5896572	NID1
2	ENSG00000133872	4.549533781920561e-06	0.44406953	SARAF
2	ENSG00000213949	4.8501600398824696e-06	-0.3393126	ITGA1
2	ENSG00000149925	7.057809733435114e-06	0.3677461	ALDOA
2	ENSG00000196262	7.225012290738369e-06	0.3910972	PPIA
2	ENSG00000160888	7.470982759865501e-06	0.61040956	IER2
2	ENSG00000065978	8.871172420031832e-06	0.38500115	YBX1
2	ENSG00000159335	9.41032100521201e-06	0.3701227	PTMS
2	ENSG00000159388	9.771939310429409e-06	0.63987553	BTG2
2	ENSG00000151914	1.053794120994705e-05	-0.5348118	DST
2	ENSG00000152818	1.0851191487550397e-05	-0.7624097	UTRN
2	ENSG00000104904	1.1198994588759738e-05	0.39107716	OAZ1
2	ENSG00000076706	1.3557324528398736e-05	-0.5866302	MCAM
2	ENSG00000184009	1.539368297905324e-05	0.34247932	ACTG1
2	ENSG00000125868	1.6712772292435357e-05	0.38985234	DSTN
2	ENSG00000102760	1.7331859361558423e-05	0.5761419	RGCC
2	ENSG00000172115	1.9033726551432792e-05	0.6105973	CYCS
2	ENSG00000123349	2.479507842426354e-05	0.34618422	PFDN5
2	ENSG00000173546	2.482972460264809e-05	-0.6336974	CSPG4
2	ENSG00000125148	2.573191037007544e-05	0.39379725	MT2A
2	ENSG00000114315	2.592989628134082e-05	0.50437874	HES1
2	ENSG00000187513	2.631495254198211e-05	0.33698165	GJA4
2	ENSG00000111678	3.155451974874032e-05	0.40263897	C12orf57
2	ENSG00000183807	3.200751118746676e-05	0.4445378	FAM162B
2	ENSG00000126803	3.731356920631672e-05	0.39943466	HSPA2
2	ENSG00000249669	4.055914946243032e-05	-0.4484162	CARMN
2	ENSG00000135390	4.155140152207452e-05	0.40321463	ATP5MC2
2	ENSG00000074181	4.2063272968730776e-05	-0.45562965	NOTCH3
2	ENSG00000163041	5.082662441959057e-05	0.33225068	H3-3A
2	ENSG00000182871	5.510705934819103e-05	-0.5207099	COL18A1
2	ENSG00000136888	5.9833937443462674e-05	0.36995217	ATP6V1G1
2	ENSG00000100906	6.240126748442717e-05	0.30739325	NFKBIA
2	ENSG00000128016	6.576812807344544e-05	0.3687231	ZFP36
2	ENSG00000075415	7.573985814024246e-05	0.35628617	SLC25A3
2	ENSG00000150991	8.03881043899277e-05	0.28049004	UBC
2	ENSG00000143761	8.88362505780692e-05	0.32534966	ARF1
2	ENSG00000076641	9.273663787907916e-05	-0.32207364	PAG1
2	ENSG00000070831	9.73348727332273e-05	0.44385424	CDC42
2	ENSG00000127603	0.0001093655512416	-0.8388923	MACF1
2	ENSG00000114857	0.0001151072512697	-0.58851117	NKTR
2	ENSG00000099860	0.0001184892689196	0.55311054	GADD45B
2	ENSG00000164111	0.0001197398291344	0.2986254	ANXA5
2	ENSG00000157557	0.0001281358163583	0.665274	ETS2
2	ENSG00000170315	0.000133772124685	0.36442515	UBB
2	ENSG00000171303	0.0001403100036761	-0.25686458	KCNK3
2	ENSG00000079308	0.0001452903678158	-0.56178796	TNS1
2	ENSG00000154096	0.0001536812313414	-0.75849706	THY1
2	ENSG00000266964	0.0001579541545237	0.4106976	FXYD1
2	ENSG00000173113	0.00019885724365	0.4678122	TRMT112
2	ENSG00000113558	0.0002005383299495	0.30749556	SKP1
2	ENSG00000092841	0.0002412269584465	0.33266684	MYL6
2	ENSG00000008282	0.0002654450029025	0.3621493	SYPL1
2	ENSG00000026025	0.0002743657298754	0.29425722	VIM
2	ENSG00000067082	0.0003323259747166	0.29408717	KLF6
2	ENSG00000136238	0.0003400712541535	0.2854073	RAC1
2	ENSG00000156976	0.000340652913814	0.31069154	EIF4A2
2	ENSG00000161011	0.0003469386881884	0.35553902	SQSTM1
2	ENSG00000104408	0.0003650258751493	0.4783059	EIF3E
2	ENSG00000198830	0.0003688803038878	0.39703104	HMGN2
2	ENSG00000182963	0.0003833794102529	-0.49474114	GJC1
2	ENSG00000111452	0.0003925047242056	-0.59263027	ADGRD1
2	ENSG00000175899	0.0004128403009836	-0.16536058	A2M
2	ENSG00000159674	0.0004153472832914	-0.48460677	SPON2
2	ENSG00000177733	0.0004563168485256	0.38971406	HNRNPA0
2	ENSG00000111775	0.0005562133563652	0.29247338	COX6A1
2	ENSG00000101608	0.0005811820896291	0.347953	MYL12A
2	ENSG00000137831	0.0006011707675178	-0.6281368	UACA
2	ENSG00000158710	0.0006145728516087	0.3379782	TAGLN2
2	ENSG00000131143	0.0006243842914719	0.30023897	COX4I1
2	ENSG00000165119	0.0006318992334812	0.24035725	HNRNPK
2	ENSG00000166598	0.0006425244452559	-0.5006818	HSP90B1
2	ENSG00000112081	0.000644011519952	0.3092586	SRSF3
2	ENSG00000099622	0.0006560869759055	0.26010504	CIRBP
2	ENSG00000196683	0.0007773685838633	0.31314597	TOMM7
2	ENSG00000164096	0.0007909234976293	0.40845218	C4orf3
2	ENSG00000149131	0.0008098239734902	0.2388803	SERPING1
2	ENSG00000255302	0.0008172995859677	0.2685116	EID1
2	ENSG00000123358	0.0008181513659777	0.66730857	NR4A1
2	ENSG00000175390	0.0008318136703026	0.46990636	EIF3F
2	ENSG00000112695	0.0008993725797924	0.30774784	COX7A2
2	ENSG00000070756	0.00090548142658	0.33103794	PABPC1
2	ENSG00000168734	0.0009152324625972	0.4127194	PKIG
2	ENSG00000117298	0.0009877369951106	-0.56016874	ECE1
2	ENSG00000130222	0.0009888445754592	0.76047903	GADD45G
2	ENSG00000110237	0.001000170432099	-0.53696835	ARHGEF17
2	ENSG00000166592	0.0010195673758578	0.31378135	RRAD
2	ENSG00000105373	0.0010222305690118	0.39725032	NOP53
2	ENSG00000138688	0.00103333253159	-0.53467625	KIAA1109
2	ENSG00000104765	0.0010803679541785	0.32197136	BNIP3L
2	ENSG00000128641	0.0011757651548628	-0.3969566	MYO1B
2	ENSG00000138758	0.0012678112434938	-0.4393514	SEPTIN11
2	ENSG00000142168	0.0012860584703341	0.32665285	SOD1
2	ENSG00000113721	0.0013281257964217	-0.15392491	PDGFRB
2	ENSG00000111669	0.0013719594149709	0.30487967	TPI1
2	ENSG00000256235	0.0013823690488095	0.4698619	SMIM3
2	ENSG00000123144	0.0013933585036548	0.39031875	TRIR
2	ENSG00000220205	0.0013951344281718	0.3223193	VAMP2
2	ENSG00000165637	0.0014451912267531	0.35904437	VDAC2
2	ENSG00000175183	0.0014743042188157	0.49112582	CSRP2
2	ENSG00000107223	0.0014870420207675	0.27842355	EDF1
2	ENSG00000164442	0.0015083153729408	0.46523115	CITED2
2	ENSG00000160013	0.0015264178170236	-0.5650799	PTGIR
2	ENSG00000142089	0.001587785369114	0.292139	IFITM3
2	ENSG00000204370	0.0015910773131041	0.5425091	SDHD
2	ENSG00000124762	0.0016069084507938	0.63882583	CDKN1A
2	ENSG00000131171	0.0016365053646637	0.31146204	SH3BGRL
2	ENSG00000125740	0.0016457921131117	0.5156703	FOSB
2	ENSG00000172757	0.001672593546097	0.31872052	CFL1
2	ENSG00000134308	0.0017317364276746	0.35942125	YWHAQ
2	ENSG00000096384	0.0017811597655343	0.24292089	HSP90AB1
2	ENSG00000105971	0.001782590726462	0.40066788	CAV2
2	ENSG00000117519	0.0018180620465695	0.24379393	CNN3
2	ENSG00000173915	0.0018403755443885	0.3540791	ATP5MK
2	ENSG00000054654	0.0018420140803003	-0.50667703	SYNE2
2	ENSG00000168894	0.0018757341642593	0.5756105	RNF181
2	ENSG00000182492	0.00190477344621	-0.04346934	BGN
2	ENSG00000113811	0.001976474913071	0.41939896	SELENOK
2	ENSG00000182985	0.002046850830596	-0.39568523	CADM1
2	ENSG00000100345	0.0023611985026793	-0.40118623	MYH9
2	ENSG00000178982	0.0023893463012508	0.34214365	EIF3K
2	ENSG00000167552	0.0025154861650657	0.26765594	TUBA1A
2	ENSG00000080824	0.0025327721030888	0.25024858	HSP90AA1
2	ENSG00000143933	0.0025953661870158	0.29876018	CALM2
2	ENSG00000166295	0.002734688882996	0.36655712	ANAPC16
2	ENSG00000188243	0.002824534076994	0.3825255	COMMD6
2	ENSG00000125356	0.0028250191007971	0.39098963	NDUFA1
2	ENSG00000131097	0.0028941737728125	0.22771646	HIGD1B
2	ENSG00000165795	0.0031004345170371	0.27006188	NDRG2
2	ENSG00000134243	0.0032750531734697	-0.48863193	SORT1
